iter	Passed	Remaining
0	160	160141
1	165	82832
2	171	57115
3	177	44315
4	183	36585
5	189	31453
6	195	27769
7	201	25031
8	207	22871
9	213	21181
10	220	19814
11	226	18627
12	232	17653
13	238	16799
14	244	16064
15	250	15402
16	256	14839
17	262	14336
18	268	13879
19	275	13493
20	281	13146
21	288	12826
22	295	12553
23	302	12294
24	308	12040
25	315	11833
26	322	11628
27	329	11429
28	335	11236
29	341	11052
30	348	10887
31	354	10727
32	360	10572
33	366	10416
34	372	10279
35	379	10168
36	386	10069
37	393	9964
38	400	9857
39	406	9764
40	413	9671
41	420	9588
42	426	9496
43	432	9405
44	438	9308
45	445	9230
46	451	9161
47	457	9082
48	464	9010
49	471	8952
50	478	8902
51	484	8831
52	490	8767
53	497	8708
54	503	8648
55	509	8588
56	516	8541
57	522	8490
58	529	8448
59	536	8406
60	543	8366
61	550	8325
62	557	8293
63	564	8258
64	571	8215
65	577	8172
66	583	8129
67	590	8097
68	597	8062
69	604	8030
70	611	7994
71	617	7962
72	624	7933
73	631	7901
74	637	7861
75	644	7832
76	650	7797
77	656	7760
78	662	7727
79	669	7694
80	675	7661
81	681	7626
82	687	7593
83	693	7565
84	699	7532
85	705	7501
86	711	7470
87	718	7443
88	724	7414
89	730	7386
90	736	7361
91	743	7333
92	749	7307
93	755	7283
94	761	7258
95	768	7234
96	775	7216
97	781	7195
98	788	7176
99	794	7151
100	800	7126
101	806	7100
102	812	7075
103	818	7051
104	824	7029
105	830	7006
106	837	6989
107	843	6966
108	850	6951
109	856	6928
110	863	6912
111	869	6890
112	875	6869
113	881	6853
114	887	6833
115	894	6816
116	901	6802
117	906	6778
118	912	6758
119	919	6741
120	926	6727
121	932	6709
122	939	6697
123	945	6676
124	951	6659
125	957	6644
126	964	6627
127	970	6614
128	976	6596
129	983	6583
130	990	6568
131	996	6551
132	1002	6537
133	1009	6522
134	1015	6507
135	1021	6491
136	1028	6476
137	1034	6461
138	1040	6444
139	1046	6428
140	1052	6413
141	1059	6399
142	1065	6386
143	1072	6372
144	1078	6359
145	1084	6345
146	1091	6331
147	1098	6321
148	1103	6304
149	1110	6294
150	1117	6280
151	1123	6266
152	1129	6252
